,worker_id,first_name,middle_name,sur_name,phone_number,home_address,role,skills,certificates,availability
81,YMPMYVFX,Alejandro,Estiven,Gómez,4377997488,"2300 Danforth Avenue, Toronto",Cleaner,"Painter,Cleaning","WHMIS,Boomlift,Working at Heights,Scissors Lift",7:00-15:30
82,WNEOF7TH,Dimitrios,Spyros,Nikolopoulos,4376008071,"350 Burnhamthorpe Road West, Mississauga",Cleaner,Labour,"Boomlift,WHMIS,4 Steps,Working at Heights",7:00-15:30
83,NV15X1V0,Alex,Spyros,Katsaros,4376613799,Mississauga,Labour,Cleaning,"Working at Heights,Scissors Lift,WHMIS,Boomlift,Forklift,4 Steps",7:00-15:30
84,3Q3BFVK3,Christos,Evangelos,Vasilakis,4376360472,"100 City Centre Drive, Mississauga",Painter,"Painter,Labour,Cleaning","Working at Heights,WHMIS,Scissors Lift,Boomlift,4 Steps",22:00-06:00
85,6PDGODAJ,Manuel,Miguel,López,4373697562,Mississauga,Cleaner,"Cleaning,Painter,Labour","Working at Heights,WHMIS,Boomlift",7:00-15:30
86,7ONMC9YW,Ioannis,Evangelos,Katsaros,4379400880,"4557 Hurontario Street, Mississauga",Cleaner,Painter,"Forklift,Boomlift","7:00-15:30,22:00-06:00"
87,SU7KA0QX,Ioannis,Vasileios,Nikolopoulos,4376945257,"100 Traders Boulevard East, Mississauga",Cleaner,"Cleaning,Painter,Labour","Working at Heights,Boomlift,Scissors Lift,Forklift,WHMIS",7:00-15:30
88,FF87H7AW,Christos,Vasileios,Katsaros,4378470082,North York,Painter,"Labour,Cleaning,Painter","4 Steps,Forklift,Working at Heights,Boomlift,Scissors Lift","7:00-15:30,22:00-06:00"
89,V8RQICEH,Alejandro,Antonio,González,4378344441,"2488 Gerrard Street East, Scarborough",Painter,"Cleaning,Labour,Painter","WHMIS,Forklift,4 Steps","7:00-15:30,22:00-06:00"
90,X2S3LM19,Andreas,Leonidas,Nikolopoulos,4377998266,Toronto,Painter,"Painter,Labour,Cleaning","Working at Heights,4 Steps,Forklift,Scissors Lift,WHMIS,Boomlift",7:00-15:30
91,NGN7A98O,Alex,Evangelos,Georgiadis,4377014406,Toronto,Labour,"Painter,Cleaning,Labour","Scissors Lift,WHMIS,Forklift,Working at Heights,4 Steps",7:00-15:30
92,28LZRNBY,Panagiotis,Theodoros,Georgiadis,4379883254,"2325 Hurontario Street, Mississauga",Painter,"Cleaning,Labour,Painter","Working at Heights,4 Steps,Scissors Lift,Boomlift",7:00-15:30
93,31P0L68L,Ana,Carolina,Gómez,4374370391,"350 Burnhamthorpe Road West #401, Mississauga",Labour,"Labour,Painter,Cleaning","WHMIS,Working at Heights,Scissors Lift,Forklift,4 Steps,Boomlift",7:00-15:30
94,WL8YIEKY,Patricia,Andrea,Pérez,4373684378,"1871 O'Connor Drive, Toronto",Painter,Cleaning,"Forklift,Working at Heights,Scissors Lift",7:00-15:30
95,GV969ZD2,Dimitrios,Vasileios,Georgiadis,4374436145,"2325 Hurontario Street, Mississauga",Painter,"Painter,Labour,Cleaning","4 Steps,WHMIS,Boomlift,Forklift",7:00-15:30
96,EJF830WX,José,Miguel,Gómez,4379506580,"100 City Centre Drive, Mississauga",Cleaner,"Cleaning,Painter","Scissors Lift,WHMIS",22:00-06:00
97,7RSX2ZUU,Andreas,Vasileios,Katsaros,4378978631,"100 City Centre Drive, Mississauga",Painter,"Labour,Cleaning,Painter","WHMIS,Scissors Lift",7:00-15:30
98,TORN5GUE,Andreas,Spyros,Christopoulos,4379750317,"1525 Victoria Park Avenue, Toronto",Cleaner,Labour,"Scissors Lift,Forklift","7:00-15:30,22:00-06:00"
99,XFP4NFM7,Georgios,Konstantinos,Nikolopoulos,4374453652,"1 Robert Speck Parkway, Mississauga",Labour,"Cleaning,Labour","Working at Heights,WHMIS,Boomlift,Scissors Lift",7:00-15:30
100,PHJUJULZ,Alejandro,Alejandro,González,4379495649,"3276 Saint Clair Avenue East, Scarborough",Cleaner,Cleaning,"Forklift,Working at Heights,4 Steps,WHMIS,Scissors Lift",7:00-15:30
101,LVS3O5ZF,Andreas,Evangelos,Georgiadis,4375076797,"30 Eglinton Avenue West Ste 14, Mississauga",Cleaner,"Painter,Cleaning","4 Steps,Boomlift,Scissors Lift,WHMIS,Working at Heights","7:00-15:30,22:00-06:00"
